Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Valor:Monto,Entrega compilada:Adjudicaciones:Valor:Moneda,Entrega compilada:Adjudicaciones:Valor:Nombre de Moneda,Entrega compilada:Adjudicaciones:Fecha de adjudicación
ocds-dgv273-seacev3-1109493,ocds-dgv273-seacev3-1109493-2026-06-01T10:02:50.069229-05:00,1109493-1705787,124200000.0,PEN,Soles,2025-08-04T00:00:00-05:00
ocds-dgv273-seacev3-2025-2543-92,ocds-dgv273-seacev3-2025-2543-92-2026-06-01T10:02:50.041830-05:00,1115724-20100962439,1313760.0,PEN,Soles,2026-01-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-2543-92,ocds-dgv273-seacev3-2025-2543-92-2026-06-01T10:02:50.041830-05:00,1115724-20478069171,212220.0,PEN,Soles,2026-01-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-2543-92,ocds-dgv273-seacev3-2025-2543-92-2026-06-01T10:02:50.041830-05:00,1115724-20502853750,710832.0,PEN,Soles,2026-01-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-2543-92,ocds-dgv273-seacev3-2025-2543-92-2026-06-01T10:02:50.041830-05:00,1115724-20516920123,294600.0,PEN,Soles,2026-01-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-2543-92,ocds-dgv273-seacev3-2025-2543-92-2026-06-01T10:02:50.041830-05:00,1115724-20606046538,576000.0,PEN,Soles,2026-01-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-1870-3,ocds-dgv273-seacev3-2025-1870-3-2026-05-31T10:14:57.147267-05:00,1106872-20409278753,260628.19,PEN,Soles,2025-04-23T00:00:00-05:00
ocds-dgv273-seacev3-2025-1922-123,ocds-dgv273-seacev3-2025-1922-123-2026-05-31T10:14:57.131270-05:00,1109536-20604953236,91092.0,PEN,Soles,2025-05-06T00:00:00-05:00
ocds-dgv273-seacev3-1181386,ocds-dgv273-seacev3-1181386-2026-05-31T10:14:49.222410-05:00,1181386-20607543373,192257.6,PEN,Nuevos Soles,2026-05-29T00:00:00-05:00
ocds-dgv273-seacev3-1110696,ocds-dgv273-seacev3-1110696-2026-05-31T10:14:48.654479-05:00,1110696-1691060,19197136.81,PEN,Soles,2025-06-05T00:00:00-05:00
ocds-dgv273-seacev3-2025-2543-188,ocds-dgv273-seacev3-2025-2543-188-2026-05-31T10:14:37.963090-05:00,1110921-20108629909,748440.0,PEN,Soles,2026-03-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-2543-188,ocds-dgv273-seacev3-2025-2543-188-2026-05-31T10:14:37.963090-05:00,1110921-20263368992,153600.0,PEN,Soles,2026-03-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-2543-188,ocds-dgv273-seacev3-2025-2543-188-2026-05-31T10:14:37.963090-05:00,1110921-20502853750,316957.44,PEN,Soles,2026-03-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-2543-188,ocds-dgv273-seacev3-2025-2543-188-2026-05-31T10:14:37.963090-05:00,1110921-20510930038,351000.0,PEN,Soles,2026-03-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-1899-39,ocds-dgv273-seacev3-2025-1899-39-2026-05-31T10:14:19.002872-05:00,1112812-1678979,4384041.42,PEN,Soles,2025-05-12T00:00:00-05:00
ocds-dgv273-seacev3-2025-1852-77,ocds-dgv273-seacev3-2025-1852-77-2026-05-31T10:14:18.909516-05:00,1111106-1687518,16542271.19,PEN,Soles,2025-06-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-2388-32,ocds-dgv273-seacev3-2025-2388-32-2026-05-31T10:14:18.890651-05:00,1112490-1687538,35715679.49,PEN,Soles,2025-06-04T00:00:00-05:00
ocds-dgv273-seacev3-1115386,ocds-dgv273-seacev3-1115386-2026-05-30T10:22:59.340225-05:00,1115386-20600029798,331433.24,PEN,Soles,2025-05-12T00:00:00-05:00
ocds-dgv273-seacev3-1115386,ocds-dgv273-seacev3-1115386-2026-05-30T10:22:59.340225-05:00,1115386-1677269,348780.61,PEN,Soles,2025-06-13T00:00:00-05:00
ocds-dgv273-seacev3-2025-1050-19,ocds-dgv273-seacev3-2025-1050-19-2026-05-30T10:22:59.306043-05:00,1113964-10215742356,80000.0,PEN,Soles,2025-05-08T00:00:00-05:00
ocds-dgv273-seacev3-1109593,ocds-dgv273-seacev3-1109593-2026-05-30T10:22:37.455543-05:00,1109593-1691024,1524607.74,PEN,Soles,2025-06-12T00:00:00-05:00
ocds-dgv273-seacev3-1104535,ocds-dgv273-seacev3-1104535-2026-05-30T10:22:26.190905-05:00,1104535-1668059,456059.65,PEN,Soles,2025-04-22T00:00:00-05:00
ocds-dgv273-seacev3-2025-37-306,ocds-dgv273-seacev3-2025-37-306-2026-05-30T10:22:26.146358-05:00,1110934-10724054272,90000.0,PEN,Soles,2025-05-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-21,ocds-dgv273-seacev3-2025-200360-21-2026-05-29T10:32:51.681614-05:00,1106205-1685309,556200.0,PEN,Soles,2025-06-23T00:00:00-05:00
ocds-dgv273-seacev3-2025-1967-8,ocds-dgv273-seacev3-2025-1967-8-2026-05-29T10:32:51.645653-05:00,1114164-20514606774,62951.0,PEN,Soles,2025-05-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-1967-8,ocds-dgv273-seacev3-2025-1967-8-2026-05-29T10:32:51.645653-05:00,1114164-20565643496,148784.0,PEN,Soles,2025-05-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-200578-17,ocds-dgv273-seacev3-2025-200578-17-2026-05-29T10:32:51.626734-05:00,1113552-1695924,1274297.65,PEN,Soles,2025-06-27T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-17,ocds-dgv273-seacev3-2025-200360-17-2026-05-29T10:32:41.806529-05:00,1106198-1685295,553500.0,PEN,Soles,2025-06-23T00:00:00-05:00
ocds-dgv273-seacev3-1100031,ocds-dgv273-seacev3-1100031-2026-05-29T10:32:41.329164-05:00,1100031-1684468,21605661.22,PEN,Soles,2025-06-03T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-14,ocds-dgv273-seacev3-2025-200360-14-2026-05-29T10:32:41.314298-05:00,1110769-1681330,271215.0,PEN,Soles,2025-05-20T00:00:00-05:00
ocds-dgv273-seacev3-1120466,ocds-dgv273-seacev3-1120466-2026-05-29T10:32:41.280528-05:00,1120466-1692038,1251090.0,PEN,Soles,2025-06-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-42-52,ocds-dgv273-seacev3-2025-42-52-2026-05-29T10:32:30.591436-05:00,1105311-20603534370,375858.0,PEN,Soles,2025-04-23T00:00:00-05:00
ocds-dgv273-seacev3-2025-2002-20,ocds-dgv273-seacev3-2025-2002-20-2026-05-29T10:32:30.566910-05:00,1111801-1701119,212624243.91,PEN,Soles,2025-07-11T00:00:00-05:00
ocds-dgv273-seacev3-2025-2002-20,ocds-dgv273-seacev3-2025-2002-20-2026-05-29T10:32:30.566910-05:00,1111801-1701022,224533398.58,PEN,Soles,2025-08-22T00:00:00-05:00
ocds-dgv273-seacev3-2025-1194-1,ocds-dgv273-seacev3-2025-1194-1-2026-05-29T10:32:30.551888-05:00,1109130-20604178704,1897877.0399999998,PEN,Soles,2025-04-25T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-22,ocds-dgv273-seacev3-2025-200360-22-2026-05-29T10:32:30.534198-05:00,1114001-1681406,47272.5,PEN,Soles,2025-06-12T00:00:00-05:00
