Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Valor:Monto,Entrega compilada:Adjudicaciones:Valor:Moneda,Entrega compilada:Adjudicaciones:Valor:Nombre de Moneda,Entrega compilada:Adjudicaciones:Fecha de adjudicación
ocds-dgv273-seacev3-2025-10154-1,ocds-dgv273-seacev3-2025-10154-1-2026-06-01T10:02:50.014474-05:00,1091153-1675417,693158.0,PEN,Soles,2025-05-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-10154-1,ocds-dgv273-seacev3-2025-10154-1-2026-06-01T10:02:50.014474-05:00,1091153-10733831630,205724.22,PEN,Soles,2025-05-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-10154-1,ocds-dgv273-seacev3-2025-10154-1-2026-06-01T10:02:50.014474-05:00,1091153-20500333414,172845.75,PEN,Soles,2025-05-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-10154-1,ocds-dgv273-seacev3-2025-10154-1-2026-06-01T10:02:50.014474-05:00,1091153-20513345748,171716.44,PEN,Soles,2025-05-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-2388-16,ocds-dgv273-seacev3-2025-2388-16-2026-05-31T10:14:57.045428-05:00,1091735-1649405,134410.0,PEN,Soles,2025-03-18T00:00:00-05:00
ocds-dgv273-seacev3-2025-200537-17,ocds-dgv273-seacev3-2025-200537-17-2026-05-31T10:14:48.603915-05:00,1092163-20477233458,8150200.58,PEN,Soles,2025-08-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-1064-6,ocds-dgv273-seacev3-2025-1064-6-2026-05-31T10:14:37.872796-05:00,1088219-20601940605,943552.7,PEN,Soles,2025-02-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-1933-7,ocds-dgv273-seacev3-2025-1933-7-2026-05-31T10:14:18.872659-05:00,1092914-20536593145,134190.0,PEN,Soles,2025-03-18T00:00:00-05:00
ocds-dgv273-seacev3-1095653,ocds-dgv273-seacev3-1095653-2026-05-31T10:14:18.827572-05:00,1095653-1652485,2119928.0,PEN,Soles,2025-03-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-951-3,ocds-dgv273-seacev3-2025-951-3-2026-05-30T10:23:08.315075-05:00,1091035-1648778,2270000.0,PEN,Soles,2025-03-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-1918-6,ocds-dgv273-seacev3-2025-1918-6-2026-05-30T10:22:59.270152-05:00,1088890-20602362273,116712.0,PEN,Soles,2025-02-21T00:00:00-05:00
ocds-dgv273-seacev3-1116840,ocds-dgv273-seacev3-1116840-2026-05-30T10:22:37.407870-05:00,1116840-1684324,24878700.24,PEN,Soles,2025-05-28T00:00:00-05:00
ocds-dgv273-seacev3-2025-29-17,ocds-dgv273-seacev3-2025-29-17-2026-05-30T10:22:04.472452-05:00,1092221-20428698569,12000021.0,PEN,Soles,2025-08-12T00:00:00-05:00
ocds-dgv273-seacev3-1089601,ocds-dgv273-seacev3-1089601-2026-05-30T10:22:04.442350-05:00,1089601-1644748,18946408.51,PEN,Soles,2025-02-13T00:00:00-05:00
ocds-dgv273-seacev3-2025-1926-23,ocds-dgv273-seacev3-2025-1926-23-2026-05-29T10:32:41.228313-05:00,1089446-20549615709,290000.0,PEN,Soles,2025-02-27T00:00:00-05:00
ocds-dgv273-seacev3-1088281,ocds-dgv273-seacev3-1088281-2026-05-29T10:32:30.485067-05:00,1088281-1643072,221165658.64,PEN,Soles,2025-02-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-1867-7,ocds-dgv273-seacev3-2025-1867-7-2026-05-28T10:20:29.077424-05:00,1093956-1662491,261391.5,PEN,Soles,2025-04-07T00:00:00-05:00
ocds-dgv273-seacev3-1093614,ocds-dgv273-seacev3-1093614-2026-05-28T10:20:29.017833-05:00,1093614-1649949,1476074.92,PEN,Soles,2025-03-18T00:00:00-05:00
ocds-dgv273-seacev3-2025-1952-58,ocds-dgv273-seacev3-2025-1952-58-2026-05-28T10:19:46.141374-05:00,1095298-10403625979,36000.0,PEN,Soles,2025-03-10T00:00:00-05:00
ocds-dgv273-seacev3-2025-200-8,ocds-dgv273-seacev3-2025-200-8-2026-05-24T10:08:25.041477-05:00,1090006-20612298123,2217000.0,PEN,Soles,2025-03-04T00:00:00-05:00
ocds-dgv273-seacev3-2025-1963-2,ocds-dgv273-seacev3-2025-1963-2-2026-05-23T10:25:09.864251-05:00,1093749-20602364373,433312.0,PEN,Soles,2025-04-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-399-8,ocds-dgv273-seacev3-2025-399-8-2026-05-23T10:24:49.807113-05:00,1087998-1666017,33601899.74,PEN,Soles,2025-05-09T00:00:00-05:00
ocds-dgv273-seacev3-2025-1926-1,ocds-dgv273-seacev3-2025-1926-1-2026-05-23T10:24:17.746940-05:00,1088694-20266369493,109500.0,PEN,Soles,2025-03-18T00:00:00-05:00
ocds-dgv273-seacev3-2025-1952-41,ocds-dgv273-seacev3-2025-1952-41-2026-05-23T10:24:17.731544-05:00,1093946-10400820142,30000.0,PEN,Soles,2025-03-10T00:00:00-05:00
ocds-dgv273-seacev3-2025-32-7,ocds-dgv273-seacev3-2025-32-7-2026-05-23T10:23:55.636380-05:00,1091471-1654933,140257.84,PEN,Soles,2025-03-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-43-31,ocds-dgv273-seacev3-2025-43-31-2026-05-22T10:33:26.182573-05:00,1089246-20600721179,11809593.72,PEN,Soles,2025-05-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-1053-10,ocds-dgv273-seacev3-2025-1053-10-2026-05-22T10:32:31.534210-05:00,1089191-1697196,2420000.0,PEN,Soles,2025-10-28T00:00:00-05:00
ocds-dgv273-seacev3-2025-1603-3,ocds-dgv273-seacev3-2025-1603-3-2026-05-22T10:32:31.470922-05:00,1090476-20611137592,1036691.0,PEN,Soles,2025-02-27T00:00:00-05:00
ocds-dgv273-seacev3-2025-817-2,ocds-dgv273-seacev3-2025-817-2-2026-05-21T10:32:00.677401-05:00,1088636-10249937814,37500.0,PEN,Soles,2025-02-17T00:00:00-05:00
ocds-dgv273-seacev3-1095527,ocds-dgv273-seacev3-1095527-2026-05-21T10:31:49.922327-05:00,1095527-20477630961,394539.2,PEN,Soles,2025-03-10T00:00:00-05:00
ocds-dgv273-seacev3-1088648,ocds-dgv273-seacev3-1088648-2026-05-21T10:31:39.285245-05:00,1088648-20494233577,563200.0,PEN,Soles,2025-04-11T00:00:00-05:00
ocds-dgv273-seacev3-1091022,ocds-dgv273-seacev3-1091022-2026-05-21T10:31:28.017340-05:00,1091022-1647956,180000.0,PEN,Soles,2025-03-03T00:00:00-05:00
ocds-dgv273-seacev3-1091055,ocds-dgv273-seacev3-1091055-2026-05-21T10:31:16.412095-05:00,1091055-1656287,57947438.75,PEN,Soles,2025-03-26T00:00:00-05:00
ocds-dgv273-seacev3-1119482,ocds-dgv273-seacev3-1119482-2026-05-20T10:31:14.095355-05:00,1119482-1691485,6796515.62,PEN,Soles,2025-06-27T00:00:00-05:00
ocds-dgv273-seacev3-1092752,ocds-dgv273-seacev3-1092752-2026-05-20T10:31:13.489832-05:00,1092752-1650699,460000.0,PEN,Soles,2025-03-07T00:00:00-05:00
ocds-dgv273-seacev3-1120615,ocds-dgv273-seacev3-1120615-2026-05-20T10:31:02.919207-05:00,1120615-20603202954,504933.81,PEN,Soles,2025-06-17T00:00:00-05:00
ocds-dgv273-seacev3-2025-200363-100,ocds-dgv273-seacev3-2025-200363-100-2026-05-20T10:30:30.706186-05:00,1093165-20506744874,2266363.0,PEN,Soles,2025-03-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-200363-100,ocds-dgv273-seacev3-2025-200363-100-2026-05-20T10:30:30.706186-05:00,1093165-20555589574,5224602.9,PEN,Soles,2025-03-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-200363-100,ocds-dgv273-seacev3-2025-200363-100-2026-05-20T10:30:30.706186-05:00,1093165-20606823976,8141299.0,PEN,Soles,2025-03-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-200363-100,ocds-dgv273-seacev3-2025-200363-100-2026-05-20T10:30:30.706186-05:00,1093165-20608415247,615441.5,PEN,Soles,2025-03-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-200363-47,ocds-dgv273-seacev3-2025-200363-47-2026-05-20T10:30:30.682911-05:00,1087735-20605020497,6916123.5,PEN,Soles,2025-03-10T00:00:00-05:00
ocds-dgv273-seacev3-2025-1952-31,ocds-dgv273-seacev3-2025-1952-31-2026-05-20T10:30:18.976967-05:00,1087180-1655475,4832777.84,PEN,Soles,2025-03-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-200495-1,ocds-dgv273-seacev3-2025-200495-1-2026-05-17T10:12:59.641194-05:00,1089868-20610342966,334854.0,PEN,Soles,2025-02-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-10505-3,ocds-dgv273-seacev3-2025-10505-3-2026-05-17T10:12:59.626015-05:00,1093227-20559657817,246833.28,PEN,Soles,2025-03-11T00:00:00-05:00
ocds-dgv273-seacev3-1125342,ocds-dgv273-seacev3-1125342-2026-05-16T10:22:14.985269-05:00,1125342-20601500494,251547.83,PEN,Soles,2025-06-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-200148-13,ocds-dgv273-seacev3-2025-200148-13-2026-05-16T10:22:14.950160-05:00,1092669-1665693,650650.83,PEN,Soles,2025-04-30T00:00:00-05:00
ocds-dgv273-seacev3-2025-200148-13,ocds-dgv273-seacev3-2025-200148-13-2026-05-16T10:22:14.950160-05:00,1092669-20418896915,998204.31,PEN,Soles,2025-04-30T00:00:00-05:00
ocds-dgv273-seacev3-2025-1642-8,ocds-dgv273-seacev3-2025-1642-8-2026-05-16T10:22:03.639054-05:00,1089993-10036089216,132830.72,PEN,Soles,2025-03-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-10549-1,ocds-dgv273-seacev3-2025-10549-1-2026-05-16T10:21:54.118066-05:00,1092806-10040637911,279744.0,PEN,Soles,2025-04-02T00:00:00-05:00
ocds-dgv273-seacev3-2025-951-7,ocds-dgv273-seacev3-2025-951-7-2026-05-16T10:21:54.022173-05:00,1090849-1653273,1435267.0,PEN,Soles,2025-03-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-1160-4,ocds-dgv273-seacev3-2025-1160-4-2026-05-15T10:34:14.109781-05:00,1091042-10410828184,1845000.0,PEN,Soles,2025-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2025-35-65,ocds-dgv273-seacev3-2025-35-65-2026-05-15T10:34:13.998378-05:00,1089057-20494233577,697300.0,PEN,Soles,2025-05-07T00:00:00-05:00
